Jugendkonzert(Lutherkirche);Do;16.05.2019;;;;;;
Sinfoniekonzert (Lutherkirche);Do;16.05.2019;;;;;;P
Abgabe Profilwahl Kl7;Fr;24.05.2019;;;;;;L
Abgabe Themen Präsentationsprüfung;Mi;24.05.2019;;;13:00;;;L
Abgabe Zweitkorrektur;Mo;27.05.2019;;;10:00;;;L
Studienfahrten;;03.06.2019;-;09.06.2019;;;;P
Freiwillige Latinumsprüfung Kl. 9;Do;03.06.2019;;;;;;
Abgabe Endbeurteilung;Di;04.06.2019;;;10:00;;;L
Abschlusskonzert Neigungskurs Musik;Do;06.06.2019;;;;;;
USA Austauch (Besuch in KN);;20.06.2019;-;30.06.2019;;;;
Notenschluss K2;Mo;24.06.2019;;;;;;L
Notenkonferenz K2;Di;25.06.2019;;;12:15;;;L
Vocatium (Berufsorient. K1);Mi;26.06.2019;;;;;;
4.GLK;Mi;26.06.2019;;;15:40;;;L
Schulkonferenz (voraussichtl. Termin);Mi;27.06.2019;;;16:00;;;
Ergebnisse schriftl. Abitur;Do;27.06.2019;;;;;;L
Probewoche Theater AG (bis Do);Mo-Do;01.07.2019;;;;;;
Mündliches Abitur       ( auswärtig: GSS);Mo/Di;01.07.2019;;02.07.2019;;;;L
Aufführung Theater-AG;Do;04.07.2019;;;;;;P
Mündliches Abitur;Do/Fr;04.07.2019;-;05.07.2019;;;;
Aufführung Theater-AG;Fr;05.07.2019;;;;;;P
BOGy Starttage für Klasse  9  ( BIZ);;08.07.2019;-;09.07.2019;;;;
Notenschluss Kl 9-10;Mi;10.07.2019;;;13:00;;;L
Notenschluss K1 /  Kl 5-8;Fr;12.07.2019;;;13:00;;;L
Notenkonferenz Klassen 9/10;Mo;15.07.2019;;;12:15;;;L
Klasse 9 Sozialpraktikum(bis Fr.);;15.07.2019;-;19.07.2019;;;;P
Notenkonferenz  K1 ( 6 Std) ,5- 8;Do;18.07.2019;;;12:15;;;L
Abiball;Do;18.07.2019;;;18:00;;;
Sommerkonzert (Konzil);Do;23.07.2019;;;19:00;;;P
Wandertag;Do;25.07.2019;;;;;;P
letzter Schultag;Fr;26.07.2019;;;;;;P
Klasse 9 Sozialpraktikum(bis Fr.);;15.07.2019;-;19.07.2019;;;;P
Notenkonferenz , K1 ( 6 Std) ,5- 8;Mi;17.07.2019;;;12:15;;;L
Abiball;Do;18.07.2019;;;18:00;;;
Sommerkonzert (Konzil);Do;23.07.2019;;;19:00;;;P
Wandertag;Do;25.07.2019;;;;;;P
letzter Schultag;Fr;26.07.2019;;;;;;P
